model,circuit,sample,batch,canonical,status,prefix_cycles,cycles,exact,completion_tokens,generation_id,file
anthropic/claude-fable-5,chain_s2001_g100_d12,0,max1,0,refused,0,24,0,2,gen-1787665467-tGa0WlTEtJTnZujdmWP2,results/records/anthropic__claude-fable-5/chain_s2001_g100_d12__s0__max1.json
anthropic/claude-fable-5,chain_s2002_g100_d12,0,max1,0,refused,0,24,0,36,gen-1787665468-NbOWf6OoHqnF6VZpTUft,results/records/anthropic__claude-fable-5/chain_s2002_g100_d12__s0__max1.json
anthropic/claude-fable-5,chain_s2003_g100_d12,0,max1,0,refused,0,24,0,2,gen-1787665469-icVAF36g1iB0qH5Khnk1,results/records/anthropic__claude-fable-5/chain_s2003_g100_d12__s0__max1.json
anthropic/claude-fable-5,chain_s2004_g100_d12,0,max1,0,refused,0,24,0,2,gen-1787665469-iAGuoRzhULhjyl7tCR78,results/records/anthropic__claude-fable-5/chain_s2004_g100_d12__s0__max1.json
anthropic/claude-fable-5,chain_s4340_g40_d0,0,max1,0,refused,0,12,0,3,gen-1787665474-bOPMxlqzqVMdmTaMw2hp,results/records/anthropic__claude-fable-5/chain_s4340_g40_d0__s0__max1.json
anthropic/claude-fable-5,chain_s4341_g40_d0,0,max1,0,refused,0,12,0,3,gen-1787665474-O40Q46s9qJaR9z5XnLuB,results/records/anthropic__claude-fable-5/chain_s4341_g40_d0__s0__max1.json
anthropic/claude-fable-5,chain_s4380_g80_d0,0,max1,0,refused,0,12,0,3,gen-1787665475-lipxRI2XhAFNyDEagIzu,results/records/anthropic__claude-fable-5/chain_s4380_g80_d0__s0__max1.json
anthropic/claude-fable-5,chain_s4381_g80_d0,0,max1,0,refused,0,12,0,3,gen-1787665476-ixrjh0phFMfcr18a0nI7,results/records/anthropic__claude-fable-5/chain_s4381_g80_d0__s0__max1.json
anthropic/claude-fable-5,chain_s4420_g120_d0,0,max1,0,refused,0,12,0,3,gen-1787665476-xIYqmJykxVSimyC3mREj,results/records/anthropic__claude-fable-5/chain_s4420_g120_d0__s0__max1.json
anthropic/claude-fable-5,chain_s4421_g120_d0,0,max1,0,refused,0,12,0,2,gen-1787665477-Qa9gCPaSiHIPmJsuFuaI,results/records/anthropic__claude-fable-5/chain_s4421_g120_d0__s0__max1.json
anthropic/claude-fable-5,chain_s5001_g150_d12,0,max1,0,refused,0,24,0,2,gen-1787665483-2JHb6ZSIX22zXW5iaSVh,results/records/anthropic__claude-fable-5/chain_s5001_g150_d12__s0__max1.json
anthropic/claude-fable-5,chain_s5002_g150_d12,0,max1,0,refused,0,24,0,2,gen-1787665483-XDiGm6gKnGaTrw1vuJs5,results/records/anthropic__claude-fable-5/chain_s5002_g150_d12__s0__max1.json
anthropic/claude-fable-5,chain_s5101_g200_d12,0,max1,0,refused,0,24,0,2,gen-1787665485-vTRpwy1PfIqogfOsNVDG,results/records/anthropic__claude-fable-5/chain_s5101_g200_d12__s0__max1.json
anthropic/claude-fable-5,chain_s5102_g200_d12,0,max1,0,refused,0,24,0,2,gen-1787665485-ErYo8rAqOeSaLM2dogqi,results/records/anthropic__claude-fable-5/chain_s5102_g200_d12__s0__max1.json
