model,circuit,sample,batch,canonical,status,prefix_cycles,cycles,exact,completion_tokens,generation_id,file
anthropic/claude-haiku-4.5,chain_s2001_g100_d12,0,max1,1,ok,1,24,0,2862,,results/records/anthropic__claude-haiku-4.5/chain_s2001_g100_d12__s0__max1.json
anthropic/claude-haiku-4.5,chain_s2002_g100_d12,0,max1,1,ok,0,24,0,2009,,results/records/anthropic__claude-haiku-4.5/chain_s2002_g100_d12__s0__max1.json
anthropic/claude-haiku-4.5,chain_s2003_g100_d12,0,max1,1,ok,2,24,0,43387,,results/records/anthropic__claude-haiku-4.5/chain_s2003_g100_d12__s0__max1.json
anthropic/claude-haiku-4.5,chain_s2004_g100_d12,0,max1,1,ok,0,24,0,1053,,results/records/anthropic__claude-haiku-4.5/chain_s2004_g100_d12__s0__max1.json
anthropic/claude-haiku-4.5,chain_s4340_g40_d0,0,feel1,1,ok,1,12,0,2663,,results/records/anthropic__claude-haiku-4.5/chain_s4340_g40_d0__s0__feel1.json
anthropic/claude-haiku-4.5,chain_s4341_g40_d0,0,feel1,1,ok,1,12,0,6525,,results/records/anthropic__claude-haiku-4.5/chain_s4341_g40_d0__s0__feel1.json
anthropic/claude-haiku-4.5,chain_s4380_g80_d0,0,feel1,1,ok,2,12,0,1535,,results/records/anthropic__claude-haiku-4.5/chain_s4380_g80_d0__s0__feel1.json
anthropic/claude-haiku-4.5,chain_s4381_g80_d0,0,feel1,1,ok,1,12,0,1546,,results/records/anthropic__claude-haiku-4.5/chain_s4381_g80_d0__s0__feel1.json
anthropic/claude-haiku-4.5,chain_s4420_g120_d0,0,feel1,1,ok,5,12,0,6085,,results/records/anthropic__claude-haiku-4.5/chain_s4420_g120_d0__s0__feel1.json
anthropic/claude-haiku-4.5,chain_s4421_g120_d0,0,feel1,1,ok,12,12,1,2541,,results/records/anthropic__claude-haiku-4.5/chain_s4421_g120_d0__s0__feel1.json
