generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1787701991-Vwahb2Ts3QqDz6l48hFP,2026-08-25 23:53:11.781,0.434736,,,,0,4402,28102,27555,0,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,stop,stop,677355,2731,false,circuiteval-test-aug-22-2026,
gen-1787701343-Gf2q5dz2jKhziGm7UQEb,2026-08-25 23:42:23.391,0.337875,,,,0,2805,19026,18703,0,moonshotai/kimi-k3-20260715,Alibaba,standard,false,true,,stop,stop,647869,3711,false,circuiteval-test-aug-22-2026,
gen-1787696486-rnbE289jeZ5xB8IKLB0n,2026-08-25 22:21:26.102,0.008415,,,,0,2805,0,5242,0,moonshotai/kimi-k3-20260715,Together,standard,false,true,,stop,stop,82506,554,false,circuiteval-test-aug-22-2026,
gen-1787696141-6cFysyE39M8I4APzM0yg,2026-08-25 22:15:41.281,0.445675,,-0.000172,,0,2051,29313,28627,64,moonshotai/kimi-k3-20260715,Together,standard,false,true,,stop,stop,344417,784,false,circuiteval-test-aug-22-2026,
gen-1787695254-uBSOIGmaI5dKUUXGfurz,2026-08-25 22:00:54.070,0.442845,,,,0,2106,25251,24239,0,moonshotai/kimi-k3-20260715,Alibaba,standard,false,true,,stop,stop,886460,971,false,circuiteval-test-aug-22-2026,
gen-1787693440-AoEVRZxdFp8f4rVHrYwH,2026-08-25 21:30:40.163,0,,,,0,3183,58234,58234,0,moonshotai/kimi-k3-20260715,Together,standard,false,true,,,error,1800260,741,false,circuiteval-test-aug-22-2026,
gen-1787690639-E6wMvri5xTm8ZF0ZVOmX,2026-08-25 20:43:58.964,1.591776,,,,0,6812,104756,40776,0,moonshotai/kimi-k3-20260715,Fireworks,standard,false,true,,stop,stop,2800732,1534,false,circuiteval-test-aug-22-2026,
gen-1787690523-P9NMFbteKuRaHoOBKaRx,2026-08-25 20:42:03.578,0.014595,,,,0,4865,0,4380,0,moonshotai/kimi-k3-20260715,Together,standard,false,true,,stop,stop,115037,714,false,circuiteval-test-aug-22-2026,
gen-1787688447-pYX8EEzVZrPwLo8gOV6O,2026-08-25 20:07:27.825,1.501519,,,,0,8728,85299,84976,0,moonshotai/kimi-k3-20260715,Alibaba,standard,false,true,,stop,stop,2075238,1110,false,circuiteval-test-aug-22-2026,
gen-1787674378-yITcWPbQ4XC4xj04taLv,2026-08-25 16:12:58.857,2.541366,,,,0,6928,145940,145617,0,moonshotai/kimi-k3-20260715,Alibaba,standard,false,true,,stop,stop,3859060,2185,false,circuiteval-test-aug-22-2026,
gen-1787673667-VaBfK19WDBghKE6hkhuB,2026-08-25 16:01:07.748,0.020784,,,,0,6928,0,29076,0,moonshotai/kimi-k3-20260715,Together,standard,false,true,,stop,stop,710494,908,false,circuiteval-test-aug-22-2026,
gen-1787673452-6Y8Sh9FMdhvg9Z9W18XV,2026-08-25 15:57:32.284,0.015384,,,,0,5128,0,6056,0,moonshotai/kimi-k3-20260715,Together,standard,false,true,,stop,stop,215100,3204,false,circuiteval-test-aug-22-2026,
gen-1787673102-WoOS7urzGOIBOXBN4LeI,2026-08-25 15:51:42.601,0.770714,,,,0,6019,63223,62912,0,google/gemini-3.1-pro-preview-20260219,Google,standard,false,true,,STOP,stop,349296,2378,false,circuiteval-test-aug-22-2026,
gen-1787670570-qtbVPV15YqtaahBeccN8,2026-08-25 15:09:30.566,0.155494,,-0.007829,,0,6636,134662,133946,4909,deepseek/deepseek-v4-pro-20260423,StreamLake,standard,false,true,,stop,stop,2517476,4048,false,circuiteval-test-aug-22-2026,
gen-1787667145-OHcjNKtWVf0ab1jZxkgr,2026-08-25 14:12:25.111,0.043625,,,,0,1800,1385,624,0,anthropic/claude-opus-5-20260723,Claude Platform on AWS,standard,false,true,,end_turn,stop,12344,5103,false,circuiteval-test-aug-22-2026,
gen-1787667135-gQcG911Wya4E30U1JMoF,2026-08-25 14:12:15.866,0.016335,,,,0,1352,383,383,0,anthropic/claude-opus-5-20260723,Claude Platform on AWS,standard,false,true,,refusal,content_filter,8541,4945,false,circuiteval-test-aug-22-2026,
gen-1787667130-z5lQtR4xaTGGOf2eq4lv,2026-08-25 14:12:10.436,0.01136,,,,0,1267,201,195,0,anthropic/claude-opus-5-20260723,Claude Platform on AWS,standard,false,true,,refusal,content_filter,5109,4629,false,circuiteval-test-aug-22-2026,
gen-1787666994-N5ZIkxkBzsB2k9CyUqiM,2026-08-25 14:09:54.059,0.149375,,,,0,2235,5528,4195,0,anthropic/claude-opus-5-20260723,Claude Platform on AWS,standard,false,true,,end_turn,stop,49220,4977,false,circuiteval-test-aug-22-2026,
gen-1787666920-4QHx9gjRWRK8dI2tmLdr,2026-08-25 14:08:40.454,0.23226,,,,0,1987,8893,7674,0,anthropic/claude-opus-5-20260723,Claude Platform on AWS,standard,false,true,,end_turn,stop,73304,5422,false,circuiteval-test-aug-22-2026,
gen-1787665962-6XKMv9EfODGyuxpFwPFG,2026-08-25 13:52:42.644,3.23997,,,,0,7994,128000,128000,0,anthropic/claude-opus-5-20260723,Claude Platform on AWS,standard,false,true,,max_tokens,length,955142,5253,false,circuiteval-test-aug-22-2026,
gen-1787665489-b3rjwHprpFavk71Kztfs,2026-08-25 13:44:49.577,0,,,,0,15936,8,0,0,anthropic/claude-5-fable-20260609,Google,standard,false,true,,refusal,content_filter,1556,1550,false,circuiteval-test-aug-22-2026,
gen-1787665489-0vyC8a2l7mU8QuuIniOf,2026-08-25 13:44:49.566,0,,,,0,8712,8,0,0,anthropic/claude-5-fable-20260609,Google,standard,false,true,,refusal,content_filter,1217,1217,false,circuiteval-test-aug-22-2026,
gen-1787665489-jVEo3TnnzWRk8tfUxjn6,2026-08-25 13:44:49.490,0,,,,0,15936,8,0,0,anthropic/claude-5-fable-20260609,Google,standard,false,true,,refusal,content_filter,1960,1957,false,circuiteval-test-aug-22-2026,
gen-1787665488-OJl4WIm1OnMoeueJtwaU,2026-08-25 13:44:48.105,0,,,,0,19548,8,0,0,anthropic/claude-5-fable-20260609,Google,standard,false,true,,refusal,content_filter,1348,1341,false,circuiteval-test-aug-22-2026,
gen-1787665488-jim8RFHt8Wyzw9IQFP4Z,2026-08-25 13:44:48.015,0,,,,0,12324,3,0,0,anthropic/claude-5-fable-20260609,Google,standard,false,true,,refusal,content_filter,1501,1497,false,circuiteval-test-aug-22-2026,
