model                     n    exact  no-answer      mean-prefix  mean-pointwise
anthropic/claude-opus-5   19   3/19     16             0.16         0.16

circuit                m0
lfsr_3                  x
mix_s5201_d24_c56       x
mix_s5202_d24_c56       x
nand_chain_2            x
nand_chain_4            x
nand_tree_8in           +
perm_s4616_d16_c40      +
perm_s4624_d24_c40      +
perm_s4625_d24_c40      x
rule30_k12_c28_s2210    x
rule30_k12_c28_s2211    x
rule30_k12_c28_s2212    x
tff_divider             x
x2301                   x
x2302                   x
x2303                   x
x2400                   x
x2401                   x
x2402                   x

legend: + all samples exact, ~ some exact, x none exact, . missing
  m0 = anthropic/claude-opus-5
