model                      n    exact  no-answer      mean-prefix  mean-pointwise
deepseek/deepseek-v4-pro   1    0/1      0              0.21         0.63
moonshotai/kimi-k3         7    6/7      0              0.88         0.96

circuit                m0  m1
chain_s2002_g100_d12    .   +
chain_s2003_g100_d12    .   +
chain_s2004_g100_d12    .   +
mix_s2101_d16_c40       .   +
mix_s2102_d16_c40       .   x
mix_s2104_d16_c40       .   +
mix_s5301_d20_c48       x   .
perm_s4632_d32_c40      .   +

legend: + all samples exact, ~ some exact, x none exact, . missing
  m0 = deepseek/deepseek-v4-pro
  m1 = moonshotai/kimi-k3
